O*NET-SOC Code,Title,Reported Job Title,Shown in My Next Move
11-2021.00,Marketing Managers,Marketing Director,Y
11-2021.00,Marketing Managers,Marketing Manager,Y
11-2021.00,Marketing Managers,Product Manager,N
11-2022.00,Sales Managers,Director of Sales,Y
11-2022.00,Sales Managers,District Sales Manager,Y
11-2022.00,Sales Managers,General Manager,N
11-2022.00,Sales Managers,Regional Sales Manager,N
11-2022.00,Sales Managers,Sales and Marketing Vice President,N
11-2022.00,Sales Managers,Sales Manager,Y
11-2022.00,Sales Managers,Sales Representative,N
11-2022.00,Sales Managers,Sales Supervisor,N
11-2022.00,Sales Managers,Store Manager,N
11-2022.00,Sales Managers,Vice President of Sales,Y
11-2031.00,Public Relations and Fundraising Managers,Account Executive,Y
11-2031.00,Public Relations and Fundraising Managers,Account Manager,N
11-2031.00,Public Relations and Fundraising Managers,Account Supervisor,Y
11-2031.00,Public Relations and Fundraising Managers,Business Development Director,N
11-2031.00,Public Relations and Fundraising Managers,Communications Director,N
11-2031.00,Public Relations and Fundraising Managers,Community Relations Director,N
11-2031.00,Public Relations and Fundraising Managers,Director of Public Relations,N
11-2031.00,Public Relations and Fundraising Managers,Public Affairs Director,N
11-2031.00,Public Relations and Fundraising Managers,Public Relations Director,Y
11-2031.00,Public Relations and Fundraising Managers,Public Relations Manager (PR Manager),Y
11-3011.00,Administrative Services Managers,Administrative Assistant,Y
11-3011.00,Administrative Services Managers,Administrative Coordinator,Y
11-3011.00,Administrative Services Managers,Administrative Manager,N
11-3011.00,Administrative Services Managers,Administrative Officer,Y
11-3011.00,Administrative Services Managers,Administrative Specialist,N
11-3011.00,Administrative Services Managers,Administrator,N
11-3011.00,Administrative Services Managers,Business Administrator,N
11-3011.00,Administrative Services Managers,Business Manager,N
11-3011.00,Administrative Services Managers,Director of Operations,N
11-3011.00,Administrative Services Managers,Office Manager,Y
11-3021.00,Computer and Information Systems Managers,Computing Services Director,N
11-3021.00,Computer and Information Systems Managers,Data Processing Manager,Y
11-3021.00,Computer and Information Systems Managers,Director of Application Development,N
11-3021.00,Computer and Information Systems Managers,Information Systems Director (IS Director),Y
11-3021.00,Computer and Information Systems Managers,Information Systems Manager (IS Manager),N
11-3021.00,Computer and Information Systems Managers,Information Systems Supervisor (IS Supervisor),N
11-3021.00,Computer and Information Systems Managers,Information Technology Director (IT Director),Y
11-3021.00,Computer and Information Systems Managers,Information Technology Manager (IT Manager),Y
11-3021.00,Computer and Information Systems Managers,MIS Director (Management Information Systems Director),N
11-3021.00,Computer and Information Systems Managers,Technical Services Manager,N
11-3031.01,Treasurers and Controllers,Chief Financial Officer (CFO),N
11-3031.01,Treasurers and Controllers,Chief School Finance Officer,Y
11-3031.01,Treasurers and Controllers,Comptroller,N
11-3031.01,Treasurers and Controllers,Controller,Y
11-3031.01,Treasurers and Controllers,Director of Finance,N
11-3031.01,Treasurers and Controllers,Finance Director,Y
11-3031.01,Treasurers and Controllers,Finance Manager,N
11-3031.01,Treasurers and Controllers,Finance Vice President,N
11-3031.01,Treasurers and Controllers,School Treasurer,N
11-3031.01,Treasurers and Controllers,Treasurer,Y
11-3031.02,"Financial Managers, Branch or Department",Assistant Manager,N
11-3031.02,"Financial Managers, Branch or Department",Assistant Vice President (AVP),N
11-3031.02,"Financial Managers, Branch or Department",Banking Center Manager (BCM),Y
11-3031.02,"Financial Managers, Branch or Department",Banking Officer,N
11-3031.02,"Financial Managers, Branch or Department",Branch Manager,Y
11-3031.02,"Financial Managers, Branch or Department",Credit Administration Manager,Y
11-3031.02,"Financial Managers, Branch or Department",Financial Center Manager,N
11-3031.02,"Financial Managers, Branch or Department",Regional Manager,N
11-3031.02,"Financial Managers, Branch or Department",Service Center Manager,N
11-3031.02,"Financial Managers, Branch or Department",Vice President,Y
11-3051.00,Industrial Production Managers,Area Plant Manager,N
11-3051.00,Industrial Production Managers,General Production Manager,N
11-3051.00,Industrial Production Managers,Manufacturing Coordinator,N
11-3051.00,Industrial Production Managers,Manufacturing Manager,Y
11-3051.00,Industrial Production Managers,Plant Manager,Y
11-3051.00,Industrial Production Managers,Plant Senior Manager,N
11-3051.00,Industrial Production Managers,Product Line Manager,N
11-3051.00,Industrial Production Managers,Production Control Manager,Y
11-3051.00,Industrial Production Managers,Production Manager,Y
11-3051.00,Industrial Production Managers,Sub Plant Manager,N
11-3051.01,Quality Control Systems Managers,"Associate Director, QA",N
11-3051.01,Quality Control Systems Managers,Director of Quality,N
11-3051.01,Quality Control Systems Managers,Lab Manager,Y
11-3051.01,Quality Control Systems Managers,Laboratory Manager,N
11-3051.01,Quality Control Systems Managers,QA Manager,N
11-3051.01,Quality Control Systems Managers,Quality Assurance Manager,Y
11-3051.01,Quality Control Systems Managers,Quality Control,N
11-3051.01,Quality Control Systems Managers,Quality Control Manager,Y
11-3051.01,Quality Control Systems Managers,Quality Control Supervisor,N
11-3051.01,Quality Control Systems Managers,Quality Manager,Y
11-3051.02,Geothermal Production Managers,Maintenance Manager,Y
11-3051.02,Geothermal Production Managers,Operations Manager,Y
11-3051.02,Geothermal Production Managers,Operations Supervisor,Y
11-3051.02,Geothermal Production Managers,Plant Manager,Y
11-3051.02,Geothermal Production Managers,Plant Supervisor,N
11-3051.02,Geothermal Production Managers,Power Plant Operations Manager,N
11-3051.02,Geothermal Production Managers,Site Manager,N
11-3051.04,Biomass Power Plant Managers,Fuel Manager,N
11-3051.04,Biomass Power Plant Managers,Maintenance Manager,Y
11-3051.04,Biomass Power Plant Managers,Maintenance Supervisor,Y
11-3051.04,Biomass Power Plant Managers,Operations and Maintenance Manager,N
11-3051.04,Biomass Power Plant Managers,Operations Manager,Y
11-3051.04,Biomass Power Plant Managers,Operations Supervisor,N
11-3051.04,Biomass Power Plant Managers,Plant Manager,Y
11-3051.04,Biomass Power Plant Managers,Production Supervisor,N
11-3051.04,Biomass Power Plant Managers,Production Support Manager,N
11-3051.04,Biomass Power Plant Managers,Production Support Supervisor,N
11-3061.00,Purchasing Managers,Commodity Manager,Y
11-3061.00,Purchasing Managers,Director of Materials,N
11-3061.00,Purchasing Managers,Director of Purchasing,Y
11-3061.00,Purchasing Managers,Director of Strategic Sourcing,N
11-3061.00,Purchasing Managers,Materials Manager,Y
11-3061.00,Purchasing Managers,Procurement Manager,N
11-3061.00,Purchasing Managers,Procurement Officer,N
11-3061.00,Purchasing Managers,Purchasing Director,N
11-3061.00,Purchasing Managers,Purchasing Manager,Y
11-3061.00,Purchasing Managers,Purchasing Supervisor,N
11-3071.01,Transportation Managers,Director of Operations,N
11-3071.01,Transportation Managers,Fleet Manager,Y
11-3071.01,Transportation Managers,Freight Coordinator,N
11-3071.01,Transportation Managers,Global Transportation Manager,N
11-3071.01,Transportation Managers,Traffic Manager,N
11-3071.01,Transportation Managers,Train Operations Manager,Y
11-3071.01,Transportation Managers,Trainmaster,Y
11-3071.01,Transportation Managers,Transportation Director,N
11-3071.01,Transportation Managers,Transportation Manager,Y
11-3071.01,Transportation Managers,Transportation Supervisor,N
11-3071.02,Storage and Distribution Managers,Cold Storage Supervisor,N
11-3071.02,Storage and Distribution Managers,Customer Service Manager,N
11-3071.02,Storage and Distribution Managers,Distribution Center Manager,Y
11-3071.02,Storage and Distribution Managers,Distribution Manager,Y
11-3071.02,Storage and Distribution Managers,Distribution Operation Manager,N
11-3071.02,Storage and Distribution Managers,Load Out Supervisor,N
11-3071.02,Storage and Distribution Managers,Shipping Manager,Y
11-3071.02,Storage and Distribution Managers,Shipping Supervisor,N
11-3071.02,Storage and Distribution Managers,Stores Supervisor,N
11-3071.02,Storage and Distribution Managers,Warehouse Manager,Y
11-3071.03,Logistics Managers,Global Logistics Manager,Y
11-3071.03,Logistics Managers,Integrated Logistics Programs Director,Y
11-3071.03,Logistics Managers,Logistics Manager,Y
11-3071.03,Logistics Managers,Logistics Solution Manager,Y
11-3071.03,Logistics Managers,Supply Chain Logistics Manager,N
11-3111.00,Compensation and Benefits Managers,Benefits Coordinator,N
11-3111.00,Compensation and Benefits Managers,Benefits Manager,Y
11-3111.00,Compensation and Benefits Managers,Business Manager,N
11-3111.00,Compensation and Benefits Managers,Compensation and Benefits Manager,Y
11-3111.00,Compensation and Benefits Managers,Compensation Director,N
11-3111.00,Compensation and Benefits Managers,Compensation Manager,Y
11-3111.00,Compensation and Benefits Managers,Corporate Controller,N
11-3111.00,Compensation and Benefits Managers,Director of Compensation,N
11-3111.00,Compensation and Benefits Managers,Human Resources Director,Y
11-3111.00,Compensation and Benefits Managers,Office Manager,N
11-3121.00,Human Resources Managers,Director of Human Resources,Y
11-3121.00,Human Resources Managers,Employee Benefits Manager,Y
11-3121.00,Human Resources Managers,Employee Relations Manager,N
11-3121.00,Human Resources Managers,Human Resources Director (HR Director),Y
11-3121.00,Human Resources Managers,Human Resources Manager (HR Manager),Y
11-3121.00,Human Resources Managers,Human Resources Vice President,N
11-3131.00,Training and Development Managers,Development Manager,N
11-3131.00,Training and Development Managers,Director of Education,Y
11-3131.00,Training and Development Managers,Director of Educational Services,N
11-3131.00,Training and Development Managers,Director of Staff Development,N
11-3131.00,Training and Development Managers,Education and Development Manager,Y
11-3131.00,Training and Development Managers,Learning Manager,N
11-3131.00,Training and Development Managers,Manager of Staff Training and Development,Y
11-3131.00,Training and Development Managers,Training and Development Coordinator,Y
11-3131.00,Training and Development Managers,Training Director,N
11-3131.00,Training and Development Managers,Training Manager,N
11-9013.01,Nursery and Greenhouse Managers,Farm Manager,N
11-9013.01,Nursery and Greenhouse Managers,Garden Center Manager,N
11-9013.01,Nursery and Greenhouse Managers,Greenhouse Manager,Y
11-9013.01,Nursery and Greenhouse Managers,Grower,Y
11-9013.01,Nursery and Greenhouse Managers,Harvesting Manager,N
11-9013.01,Nursery and Greenhouse Managers,Horticulturist,N
11-9013.01,Nursery and Greenhouse Managers,Nursery Manager,Y
11-9013.01,Nursery and Greenhouse Managers,Perennial House Manager,N
11-9013.01,Nursery and Greenhouse Managers,Production Manager,Y
11-9013.01,Nursery and Greenhouse Managers,Propagation Manager,N
11-9013.02,Farm and Ranch Managers,Accredited Farm Manager (AFM),N
11-9013.02,Farm and Ranch Managers,Cash Crop Farmer,N
11-9013.02,Farm and Ranch Managers,Dairy Farmer,Y
11-9013.02,Farm and Ranch Managers,Farm Manager,Y
11-9013.02,Farm and Ranch Managers,Farm Operator,N
11-9013.02,Farm and Ranch Managers,Farmer,Y
11-9013.02,Farm and Ranch Managers,Grain Farmer,N
11-9013.02,Farm and Ranch Managers,Ranch Manager,N
11-9013.02,Farm and Ranch Managers,Rancher,Y
11-9013.02,Farm and Ranch Managers,Sow Farm Manager,N
11-9013.03,Aquacultural Managers,Aquaculture Cooperative Marketing Director,Y
11-9013.03,Aquacultural Managers,Aquaculture Director,Y
11-9013.03,Aquacultural Managers,Aquaculture Program Director,Y
11-9013.03,Aquacultural Managers,Farm Operations Technical Director,Y
11-9013.03,Aquacultural Managers,Finfish Aquaculture Specialist,N
11-9013.03,Aquacultural Managers,Hatchery Manager,N
11-9013.03,Aquacultural Managers,Recirculating Aquaculture Systems Specialist,N
11-9021.00,Construction Managers,Concrete Foreman,N
11-9021.00,Construction Managers,Construction Area Manager,N
11-9021.00,Construction Managers,Construction Foreman,N
11-9021.00,Construction Managers,Construction Manager,Y
11-9021.00,Construction Managers,Construction Superintendent,Y
11-9021.00,Construction Managers,General Contractor,Y
11-9021.00,Construction Managers,Job Superintendent,N
11-9021.00,Construction Managers,Project Executive,N
11-9021.00,Construction Managers,Project Manager,Y
11-9021.00,Construction Managers,Project Superintendent,N
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Administrator,Y
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Child Care Director,N
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Childcare Director,N
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Director,Y
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Early Head Start Director,N
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Education Coordinator,N
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Education Director,N
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Executive Director,N
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Preschool Director,Y
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Site Coordinator,Y
11-9032.00,"Education Administrators, Elementary and Secondary School",Assistant Principal,Y
11-9032.00,"Education Administrators, Elementary and Secondary School",Athletic Director,N
11-9032.00,"Education Administrators, Elementary and Secondary School",Elementary Principal,N
11-9032.00,"Education Administrators, Elementary and Secondary School",High School Principal,N
11-9032.00,"Education Administrators, Elementary and Secondary School",Middle School Principal,Y
11-9032.00,"Education Administrators, Elementary and Secondary School",Principal,Y
11-9032.00,"Education Administrators, Elementary and Secondary School",School Administrator,N
11-9032.00,"Education Administrators, Elementary and Secondary School",School Superintendent,N
11-9032.00,"Education Administrators, Elementary and Secondary School",Special Education Director,N
11-9032.00,"Education Administrators, Elementary and Secondary School",Superintendent,Y
11-9033.00,"Education Administrators, Postsecondary",Academic Affairs Dean,N
11-9033.00,"Education Administrators, Postsecondary",Academic Affairs Vice President,N
11-9033.00,"Education Administrators, Postsecondary",Academic Dean,Y
11-9033.00,"Education Administrators, Postsecondary",Admissions Director,N
11-9033.00,"Education Administrators, Postsecondary",College President,N
11-9033.00,"Education Administrators, Postsecondary",Dean,Y
11-9033.00,"Education Administrators, Postsecondary",Dean of Students,N
11-9033.00,"Education Administrators, Postsecondary",Financial Aid Director,N
11-9033.00,"Education Administrators, Postsecondary",Provost,Y
11-9033.00,"Education Administrators, Postsecondary",Registrar,Y
11-9039.01,Distance Learning Coordinators,Chief Learning Officer,Y
11-9039.01,Distance Learning Coordinators,Coordinator of Online Programs,Y
11-9039.01,Distance Learning Coordinators,Director of Distance Learning,N
11-9039.01,Distance Learning Coordinators,Distance Education Faculty Liaison,N
11-9039.01,Distance Learning Coordinators,Distance Learning Coordinator,Y
11-9039.01,Distance Learning Coordinators,Distance Learning Technician,N
11-9039.01,Distance Learning Coordinators,Distance Learning Unit Leader,N
11-9039.01,Distance Learning Coordinators,Head of Academic Technology,N
11-9039.01,Distance Learning Coordinators,Online Facilitator,N
11-9039.01,Distance Learning Coordinators,Program Facilitation Director for Distance Learning,Y
11-9039.02,Fitness and Wellness Coordinators,Chief Wellness Officer,N
11-9039.02,Fitness and Wellness Coordinators,Executive Wellness Programs Director,N
11-9039.02,Fitness and Wellness Coordinators,Fitness and Wellness Director,Y
11-9039.02,Fitness and Wellness Coordinators,Fitness Coordinator,Y
11-9039.02,Fitness and Wellness Coordinators,Fitness Director,N
11-9039.02,Fitness and Wellness Coordinators,Fitness Supervisor,N
11-9039.02,Fitness and Wellness Coordinators,Fitness/Wellness Director,Y
11-9039.02,Fitness and Wellness Coordinators,Group Fitness Manager (GFM),N
11-9039.02,Fitness and Wellness Coordinators,Recreational Sports Director,N
11-9039.02,Fitness and Wellness Coordinators,Wellness Director,Y
11-9041.00,Architectural and Engineering Managers,Chief Engineer,N
11-9041.00,Architectural and Engineering Managers,Civil Engineering Manager,N
11-9041.00,Architectural and Engineering Managers,Director of Engineering,Y
11-9041.00,Architectural and Engineering Managers,Engineering Group Manager,N
11-9041.00,Architectural and Engineering Managers,Engineering Manager,Y
11-9041.00,Architectural and Engineering Managers,Engineering Program Manager,N
11-9041.00,Architectural and Engineering Managers,Principal Engineer,N
11-9041.00,Architectural and Engineering Managers,Project Engineer,Y
11-9041.00,Architectural and Engineering Managers,Project Engineering Manager,Y
11-9041.00,Architectural and Engineering Managers,Project Manager,N
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Analytical Research Program Manager,Y
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Biodiesel Division Manager,N
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Biofuels Manager,N
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Chief Technology Officer (CTO),Y
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Laboratory Manager (Lab Manager),N
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Manager of Business Development and New Technology,N
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Project Development Director,Y
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Scientist,N
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Senior Research Associate,N
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Senior Research Scientist,Y
11-9051.00,Food Service Managers,Banquet Manager,N
11-9051.00,Food Service Managers,Catering Manager,N
11-9051.00,Food Service Managers,Director of Food and Beverage,N
11-9051.00,Food Service Managers,Food and Beverage Manager,Y
11-9051.00,Food Service Managers,Food Service Director,Y
11-9051.00,Food Service Managers,Food Service Manager,Y
11-9051.00,Food Service Managers,Food Service Supervisor,N
11-9051.00,Food Service Managers,Kitchen Manager,N
11-9051.00,Food Service Managers,Restaurant General Manager,N
11-9051.00,Food Service Managers,Restaurant Manager,Y
11-9061.00,Funeral Service Managers,Arranging Funeral Director,N
11-9061.00,Funeral Service Managers,Assistant Manager of Operations,Y
11-9061.00,Funeral Service Managers,Funeral Home Location Manager,N
11-9061.00,Funeral Service Managers,Funeral Home Manager,Y
11-9061.00,Funeral Service Managers,Funeral Service Manager,Y
11-9061.00,Funeral Service Managers,Location Manager,N
11-9061.00,Funeral Service Managers,Market Manager,N
11-9061.00,Funeral Service Managers,Mortuary Operations Manager,Y
11-9061.00,Funeral Service Managers,"Sales Manager, Prearranged Funerals",N
11-9061.00,Funeral Service Managers,Scheduling Manager,N
11-9071.00,Gaming Managers,Assistant Casino Shift Manager,N
11-9071.00,Gaming Managers,Bingo Manager,N
11-9071.00,Gaming Managers,Casino Manager,Y
11-9071.00,Gaming Managers,Casino Shift Manager,N
11-9071.00,Gaming Managers,Gaming Director,N
11-9071.00,Gaming Managers,Gaming Manager,Y
11-9071.00,Gaming Managers,Slot Manager,Y
11-9071.00,Gaming Managers,Slot Operations Director,N
11-9071.00,Gaming Managers,Table Games Manager,Y
11-9071.00,Gaming Managers,Table Games Shift Manager,N
11-9081.00,Lodging Managers,Bed and Breakfast Innkeeper,N
11-9081.00,Lodging Managers,Director of Front Office,N
11-9081.00,Lodging Managers,Front Desk Manager,Y
11-9081.00,Lodging Managers,Front Office Manager,Y
11-9081.00,Lodging Managers,Hotel Manager,Y
11-9081.00,Lodging Managers,Night Manager,N
11-9081.00,Lodging Managers,Resort Manager,Y
11-9081.00,Lodging Managers,Rooms Director,N
11-9111.00,Medical and Health Services Managers,Clinical Director,N
11-9111.00,Medical and Health Services Managers,Director of Nursing,N
11-9111.00,Medical and Health Services Managers,Health and Social Service Manager,Y
11-9111.00,Medical and Health Services Managers,Medical Records Manager,N
11-9111.00,Medical and Health Services Managers,Mental Health Program Manager,N
11-9111.00,Medical and Health Services Managers,Nurse Manager,Y
11-9111.00,Medical and Health Services Managers,Nutrition Services Manager,N
11-9111.00,Medical and Health Services Managers,Office Manager,Y
11-9111.00,Medical and Health Services Managers,Practice Administrator,N
11-9111.00,Medical and Health Services Managers,Program Manager,Y
11-9121.00,Natural Sciences Managers,Environmental Program Manager,Y
11-9121.00,Natural Sciences Managers,Fisheries Director,N
11-9121.00,Natural Sciences Managers,Health Sciences Manager,N
11-9121.00,Natural Sciences Managers,Laboratory Manager,N
11-9121.00,Natural Sciences Managers,Natural Science Manager,Y
11-9121.00,Natural Sciences Managers,Research and Development Director,N
11-9121.00,Natural Sciences Managers,Research Manager,N
11-9121.00,Natural Sciences Managers,Senior Investigator,Y
11-9121.00,Natural Sciences Managers,Senior Scientist,N
11-9121.00,Natural Sciences Managers,Water Team Leader,Y
11-9121.01,Clinical Research Coordinators,Clinical Program Coordinator,N
11-9121.01,Clinical Research Coordinators,Clinical Program Manager,Y
11-9121.01,Clinical Research Coordinators,Clinical Research Administrator,N
11-9121.01,Clinical Research Coordinators,Clinical Research Associate (CRA),Y
11-9121.01,Clinical Research Coordinators,Clinical Research Coordinator,Y
11-9121.01,Clinical Research Coordinators,Clinical Research Manager,N
11-9121.01,Clinical Research Coordinators,Clinical Research Nurse Coordinator,N
11-9121.01,Clinical Research Coordinators,Clinical Trial Coordinator,N
11-9121.01,Clinical Research Coordinators,Clinical Trial Manager,Y
11-9121.01,Clinical Research Coordinators,Research Coordinator,N
11-9121.02,Water Resource Specialists,Hydrogeologist,Y
11-9121.02,Water Resource Specialists,National Stormwater Leader,N
11-9121.02,Water Resource Specialists,"Owner, Consulting Engineer",N
11-9121.02,Water Resource Specialists,"Owner, Professional Engineer",N
11-9121.02,Water Resource Specialists,Research Hydraulic Engineer,N
11-9121.02,Water Resource Specialists,Senior Group Manager,Y
11-9121.02,Water Resource Specialists,Senior Hydrogeologist,Y
11-9121.02,Water Resource Specialists,Senior Water Resources Engineer,Y
11-9121.02,Water Resource Specialists,VP-Senior Principal Water Resources Engineer,N
11-9121.02,Water Resource Specialists,Water Resources Business Segment Leader,N
11-9131.00,Postmasters and Mail Superintendents,Computerized Forwarding System Supervisor,N
11-9131.00,Postmasters and Mail Superintendents,Distribution Operation Supervisor (SDO),Y
11-9131.00,Postmasters and Mail Superintendents,Distribution Operations Manager,Y
11-9131.00,Postmasters and Mail Superintendents,Mail Delivery Supervisor,N
11-9131.00,Postmasters and Mail Superintendents,Postal Supervisor,N
11-9131.00,Postmasters and Mail Superintendents,Postmaster,Y
11-9131.00,Postmasters and Mail Superintendents,Postmaster Relief (PMR),N
11-9131.00,Postmasters and Mail Superintendents,Remote Encoding Center Manager,Y
11-9131.00,Postmasters and Mail Superintendents,Remote Encoding Operations Supervisor,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Apartment Manager,Y
11-9141.00,"Property, Real Estate, and Community Association Managers",Commercial Property Services Coordinator,Y
11-9141.00,"Property, Real Estate, and Community Association Managers",Community Manager,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Condominium Association Property Manager,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Consulting Property Manager,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Lease Administration Supervisor,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Leasing Manager,N
11-9141.00,"Property, Real Estate, and Community Association Managers",On Site Property Manager,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Property Manager,Y
11-9141.00,"Property, Real Estate, and Community Association Managers",Resident Manager,Y
11-9151.00,Social and Community Service Managers,Adoption Services Manager,N
11-9151.00,Social and Community Service Managers,Children's Service Supervisor,N
11-9151.00,Social and Community Service Managers,Clinical Services Director,N
11-9151.00,Social and Community Service Managers,Community Services Block Grant/Outreach Social Worker (CSBG/Outreach Social Worker),N
11-9151.00,Social and Community Service Managers,Director of Child Welfare Services,N
11-9151.00,Social and Community Service Managers,Director of Social Services,N
11-9151.00,Social and Community Service Managers,Program Director,Y
11-9151.00,Social and Community Service Managers,Program Manager,Y
11-9151.00,Social and Community Service Managers,Social Services Director,Y
11-9151.00,Social and Community Service Managers,Vocational Rehabilitation Administrator,Y
11-9161.00,Emergency Management Directors,Emergency Management Consultant,N
11-9161.00,Emergency Management Directors,Emergency Management Coordinator,Y
11-9161.00,Emergency Management Directors,Emergency Management Director,N
11-9161.00,Emergency Management Directors,Emergency Management Program Specialist,N
11-9161.00,Emergency Management Directors,Emergency Management System Director (EMS Director),Y
11-9161.00,Emergency Management Directors,Emergency Planner,Y
11-9161.00,Emergency Management Directors,Emergency Preparedness Coordinator,N
11-9161.00,Emergency Management Directors,Emergency Preparedness Program Specialist,Y
11-9161.00,Emergency Management Directors,Emergency Preparedness Specialist,N
11-9161.00,Emergency Management Directors,Emergency Services Director,N
11-9199.01,Regulatory Affairs Managers,Clinical Trials Systems Administrator,Y
11-9199.01,Regulatory Affairs Managers,Global Regulatory Affairs Manager,Y
11-9199.01,Regulatory Affairs Managers,Regulatory Affairs Director,Y
11-9199.01,Regulatory Affairs Managers,Regulatory Affairs Manager,Y
11-9199.01,Regulatory Affairs Managers,Regulatory Affairs Portfolio Leader,N
11-9199.01,Regulatory Affairs Managers,Regulatory Consultant,N
11-9199.01,Regulatory Affairs Managers,Regulatory Leader,N
11-9199.01,Regulatory Affairs Managers,Regulatory Product Manager,N
11-9199.02,Compliance Managers,Business Practices Supervisor,N
11-9199.02,Compliance Managers,Compliance Coordinator,Y
11-9199.02,Compliance Managers,Compliance Engineer-Products,N
11-9199.02,Compliance Managers,Compliance Manager,Y
11-9199.02,Compliance Managers,Compliance Officer,Y
11-9199.02,Compliance Managers,Compliance Review Officer,N
11-9199.02,Compliance Managers,Corporate Operations Compliance Manager,N
11-9199.02,Compliance Managers,Director of Compliance,Y
11-9199.02,Compliance Managers,"Director, Global Ethics & Compliance and Assistant General Counsel",N
11-9199.02,Compliance Managers,Internal Review and Audit Compliance,N
11-9199.03,Investment Fund Managers,"Assistant Vice President, Investment Analysis",N
11-9199.03,Investment Fund Managers,Equity Analyst,Y
11-9199.03,Investment Fund Managers,Fixed Income Portfolio Manager,N
11-9199.03,Investment Fund Managers,Investment Analyst,Y
